Blog	four	looking	second	kids	k	music	until	example	want	feature	place	series	wasn	service	needed	project	tech	came	saying	result	best	men	country	asked	much	life	things	had	easy	possible	right	old	dollars	o	support	happy	choice	team	along	love	fake	working	following	such	years	didn	internet	million	quite	open	city	future	san	say	take	ways	link	going	hour	jobs	many	wants	technology	being	rest	around	dark	world	power	favorite	her	site	am	congress	tv	th	small	past	hours	experience	via	company	learn	states	its	always	found	really	research	major	self	also	play	plan	cover	set	see	movie	available	let	whole	community	person	amp	couple	d	continue	tools	next	line	us	customers	ago	having	results	try	video	great	makes	high	move	doing	could	start	system	face	fact	should	means	stuff	email	android	less	web	government	five	become	does	three	places	problem	worked	told	thursday	work	law	office	then	them	network	another	john	away	com	information	hand	photo	thanks	night	security	post	months	way	war	true	update	together	cost	change	usually	market	live	car	write	product	use	still	half	january	space	shows	cars	care	national	online	price	america	only	between	article	comes	these	media	thinking	real	read	early	using	business	aren	lot	trying	building	month	very	learned	family	put	takes	history	help	soon	actually	event	since	ask	off	clear	latest	justice	hope	pretty	during	won	probably	both	else	look	while	smart	ready	used	march	game	run	within	similar	doesn	e	go	facebook	michael	started	meet	control	links	including	him	front	special	keep	need	able	talk	based	she	written	key	well	page	twitter	home	washington	he	piece	star	friends	lives	whose	companies	likely	even	tips	ever	never	call	tell	give	answer	president	before	better	weeks	went	side	content	isn	user	features	matter	seen	seem	don	m	explain	stop	bad	decided	said	against	appeared	website	study	make	left	human	yes	yet	deal	dead	popular	super	down	digital	weekend	happening	daily	did	making	may	man	maybe	nbsp	group	interesting	policy	morning	living	where	thing	think	fast	little	anyone	were	especially	shot	show	data	black	nearly	enough	reading	across	according	among	those	different	pay	same	money	audience	youtube	again	important	u	children	public	published	two	coming	response	playing	through	late	someone	house	hard	idea	done	least	believe	b	built	build	businesses	find	please	mean	point	simple	shutdown	create	understand	fun	itself	yesterday	cut	big	bit	google	often	forward	giving	others	account	act	ll	day	red	text	taking	almost	helped	center	thought	brand	minutes	under	every	school	street	york	would	phone	must	me	times	end	writing	each	got	free	wanted	days	already	top	too	took	though	chris	watch	amazon	report	full	however	news	games	search	several	social	donald	everything	head	check	cool	posts	says	goes	today	local	trump	term	name	turn	given	white	r	pro	any	ideas	sure	multiple	state	come	case	good	trip	week	without	blog	everyone	far	list	ten	design	version	members	known	rather	short	might	number	health	friday	feel	story	store	kind	nothing	part	his	wrote	art	recently	attention	c	questions	question	long	called	users	once	app	few	women	something	united	instead	looks	cohen	which	who	why	fear	thousands	words	view	job	perhaps	other	know	because	lead	getting	own	made	whether	percent	book
Joi Ito's Web	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	2	3	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	3	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	4	0	1	0	0	1	1	0	0	0	1	0	1	0	3	0	0	0	1	0	0	3	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	1	2	1	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	2	0	0	0	2	2	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	2	0	0	3	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	2	0	0	0	0	0	2	0	0	5	0	0	0	1	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	2	0	1	0	1	0	0	2	0	0	1	0	2	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	7
Power LinePower Line	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	1	3	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
ongoing by Tim Bray	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	2	0	0	1	3	0	0	1	0	2	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	2	1	0	1	0	0	0	0	0	3	1	0	0	0	0	1	0	1	0	0	2	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	4	1	0	0	1	0	2	0	0	1	1	2	0	0	0	0	4	0	1	0	1	0	0	1	1	0	0	0	6	1	0	0	0	8	1	1	1	0	0	1	0	0	0	0	0	7	0	0	2	6	0	1	0	0	5	0	1	0	0	0	0	2	0	3	0	2	0	0	0	0	0	0	1	10	1	0	1	1	0	0	0	0	2	2	0	0	0	0	0	1	0	1	3	0	0	1	2	0	0	0	1	5	0	0	0	1	2	0	2	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	4	0	0	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	4	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	2	0	1	0	0	0	1	0	1	7	0	2	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	1	3	0	0	1	0	0	0	0	4	3	7	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	2	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	2	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	3	2	0	0	0	1	0	0	4	0	0	1	2	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	3	0	2	0	0	1	0	3	1	1	0	3	0	0	1	2	0	0	0	0	1	1	2	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	7	1	1	0	0	0	2	0	0	0	3	0	2	0	2	0	1	0	0
The Viral Garden	5	10	3	0	1	6	0	4	34	0	3	9	8	5	2	4	0	1	4	4	7	0	0	1	6	2	6	40	2	1	7	2	2	6	2	1	1	5	4	2	0	1	23	8	6	14	0	0	1	2	0	1	3	6	7	6	20	10	4	1	25	3	0	21	0	7	1	4	5	2	5	12	25	0	1	9	5	2	4	1	8	13	8	0	11	6	10	10	1	0	4	10	2	0	4	0	22	0	0	8	1	11	6	3	6	5	1	7	9	3	16	19	5	2	5	4	0	13	4	1	2	13	8	4	0	0	5	16	5	3	3	0	5	1	0	0	10	5	3	0	6	5	3	0	17	0	0	23	50	4	9	1	3	22	4	1	0	2	3	0	43	7	27	0	1	2	5	2	3	5	1	3	0	9	2	20	14	3	1	6	2	0	1	0	8	2	2	16	2	2	2	25	123	4	3	10	3	30	12	10	14	7	4	1	23	5	0	4	1	1	10	3	11	28	3	3	5	0	2	0	2	3	5	11	12	6	8	2	8	2	1	1	3	1	0	3	3	2	0	14	14	0	14	5	0	9	1	3	2	1	3	8	2	1	0	2	5	5	12	7	61	0	0	17	0	0	12	0	1	30	7	19	2	3	10	1	11	6	3	0	11	10	4	7	1	15	6	4	0	2	3	2	15	18	0	2	3	6	13	0	0	3	6	20	10	1	1	1	1	1	6	1	2	1	2	3	0	13	4	12	1	4	14	4	5	2	0	0	18	17	32	0	3	3	36	1	0	5	0	1	0	5	8	0	2	3	12	3	3	16	3	8	0	3	4	0	0	0	1	8	11	2	0	4	1	14	0	0	18	3	5	0	2	0	5	6	9	3	8	6	2	0	10	13	2	7	0	0	12	8	0	9	2	4	9	0	1	17	17	2	0	4	2	2	3	11	1	1	1	10	1	0	2	31	0	3	57	1	5	5	5	10	6	12	10	2	4	6	10	5	1	0	0	0	3	1	1	0	3	9	135	0	0	1	7	5	9	0	2	4	0	0	1	10	2	2	0	0	0	8	6	11	0	1	8	8	17	0	5	2	48	10	1	12	2	0	1	5	1	1	1	5	5	0	0	2	2	1	0	2	7	8	7	0	6	7	0	5	0	8	5	10	3	0	26	0	9	0	5	1	0	19	16	21	1	1	1	5	1	0	19	22	38	2	6	24	8	1	0	0
The Official Google Blog	5	7	0	11	0	5	0	4	14	8	4	5	0	0	0	10	6	2	1	0	13	0	4	0	2	1	4	11	5	1	6	2	1	0	16	0	2	10	9	3	2	8	4	2	6	1	6	8	1	9	4	0	2	7	5	6	2	1	2	2	8	1	16	2	0	15	1	15	5	5	9	2	1	0	4	5	2	4	6	11	1	4	9	1	13	1	5	3	7	1	0	20	4	1	0	13	16	0	12	5	0	12	0	0	1	6	3	7	7	0	11	5	0	2	1	3	6	2	3	8	0	1	11	11	2	1	11	11	2	0	1	31	5	3	0	4	3	1	6	5	3	3	1	1	17	1	0	5	12	3	6	2	4	1	8	1	4	4	5	9	3	4	10	0	1	1	3	3	3	2	1	3	10	0	6	21	5	1	8	3	2	2	0	2	13	1	4	1	5	1	2	20	12	2	8	3	2	16	3	1	3	4	6	1	1	1	5	2	2	6	42	6	0	0	3	5	8	2	3	2	2	2	5	0	1	2	0	9	15	20	3	4	0	3	2	1	2	2	2	4	2	0	4	1	8	1	12	6	3	2	8	8	12	1	8	8	1	1	6	6	1	21	2	9	0	0	5	2	0	3	1	16	6	2	4	2	1	6	5	0	5	9	6	0	0	5	1	4	13	2	2	0	10	5	3	5	2	2	1	4	0	3	0	16	5	2	0	0	2	0	6	0	5	7	0	1	4	0	3	3	1	0	0	6	1	5	2	0	9	2	8	2	2	2	4	4	0	8	20	0	1	0	0	7	3	1	4	12	3	2	0	1	10	2	3	8	2	4	0	8	4	0	2	23	1	0	1	1	3	2	0	2	1	7	6	2	14	0	1	0	4	0	12	5	3	1	0	1	3	0	133	2	4	2	5	2	0	26	8	1	2	4	0	0	5	1	0	1	2	8	13	1	5	2	17	3	8	2	5	2	9	6	13	2	3	5	7	5	0	0	0	0	0	2	5	1	8	3	17	4	10	0	1	2	22	1	1	0	1	9	9	0	4	0	6	0	1	1	3	2	7	3	1	0	6	0	5	1	18	6	0	2	3	2	2	2	5	2	1	0	0	6	4	6	1	2	0	2	2	2	10	11	0	0	4	0	3	1	2	9	4	4	5	7	7	8	4	5	1	0	0	14	13	8	0	1	1	7	11	0	17	4	2	3	6	7	4	8	6	3
Neil Gaiman's Journal	7	3	6	1	1	4	7	0	16	0	6	6	11	0	3	0	0	7	2	0	9	1	1	13	32	10	60	57	2	2	11	12	9	1	4	5	2	3	4	26	0	6	1	10	30	11	5	3	6	1	1	0	10	4	13	2	8	27	4	0	17	0	2	10	4	6	4	26	3	0	16	0	24	0	5	19	9	1	10	2	3	1	5	0	6	7	6	20	0	0	4	13	1	0	22	10	26	4	6	10	6	1	10	1	10	25	1	0	17	2	29	0	36	6	2	4	7	8	7	3	1	27	29	1	0	0	1	12	7	7	3	0	7	0	0	1	4	5	10	3	0	6	11	1	25	2	1	34	59	0	11	2	11	27	0	3	9	1	11	0	8	8	14	2	6	0	7	2	6	2	1	6	0	15	0	1	15	5	0	0	2	0	1	0	3	2	3	25	11	3	6	15	2	5	4	36	6	3	1	4	15	8	1	5	21	7	10	15	0	0	10	1	10	9	7	4	11	1	0	0	19	2	5	5	7	6	6	8	12	3	4	3	2	0	2	1	0	2	13	23	2	6	12	8	0	4	5	30	0	2	5	15	1	11	3	20	9	0	8	6	2	5	1	79	3	1	14	2	0	0	0	34	1	12	12	2	12	7	5	0	18	7	7	26	4	1	10	0	2	5	3	2	17	55	2	4	9	2	19	1	1	2	2	36	8	0	6	7	0	3	1	0	8	1	2	5	0	24	8	9	12	4	330	1	2	0	5	2	28	20	9	4	9	4	31	4	2	7	0	1	2	5	16	1	1	1	6	8	8	9	18	2	2	10	1	0	6	7	8	25	11	1	2	11	5	12	4	8	6	15	3	1	4	0	2	0	16	3	2	1	3	0	1	4	6	2	6	0	8	15	2	2	2	3	4	0	3	16	12	2	5	2	11	3	2	10	2	6	1	2	1	1	12	40	2	5	85	10	2	22	14	22	4	8	28	3	0	26	12	3	9	5	5	0	2	3	3	1	0	7	1	0	9	5	1	1	0	1	10	4	0	0	1	4	4	0	1	0	0	12	3	10	0	1	7	4	31	2	6	9	12	8	1	1	1	4	4	1	1	3	7	4	4	0	0	8	9	0	12	6	8	43	18	17	0	2	3	9	1	17	10	0	5	1	17	2	28	1	7	4	5	32	54	7	3	4	8	0	2	5	22	10	39	0	10	10	19	1	0	58
456 Berea Street	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	0	0	0	1	0	1	0	1	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	1	2	1	1	0	0	4	0	1	2	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	7	1	1	3	0	0	0	1	0	0	0	3	4	0	0	0	0	0	0	0	1	3	0	2	0	0	0	0	2	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	1	0	3	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	1	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	10	0	3	0	0	1	1	0	0	1	0	0	0	0	0	2	0	1	0	2	0	0	0	0	0	0	0	0	1	0	1	0	6	2	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	3	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	3	0	2	1	0	0	1	0	0	2	0	0	0	0	1	3	0	1	0	1	0	4	0	2	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	5	0	0	0	0	0	0	0	0	1	0	3	0	1	1	3	0	0	0	5	0	0	1	0	0	1	0	1	5	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	2	0	2	0	0	0	0	0	0	0	0	5	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	2	0	0	1	2	0	0	0	0	1	2	2	0	0	0	0	0	2	12	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	1	1	0	1	1	1	0	0	1	0	0	0	1	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	4	1	2	0	0	0	0	0	0	0	0	1	0	1	1	0	0	2	0
Sifry's Alerts - David Sifry	5	7	5	6	3	1	1	4	20	3	7	0	0	2	2	2	1	2	0	0	2	2	2	3	11	0	10	9	2	2	6	8	0	1	2	2	0	6	2	4	0	4	0	1	2	0	2	4	3	3	7	2	2	4	8	1	0	12	2	0	8	0	1	0	0	5	0	8	0	1	2	6	2	0	1	1	3	0	3	5	2	1	2	0	2	1	9	16	0	0	2	16	3	1	3	6	3	7	2	5	1	0	1	1	1	4	3	1	11	3	14	0	1	0	1	2	3	13	4	2	1	1	4	2	0	0	3	4	8	2	3	2	5	6	0	5	0	3	3	3	1	1	1	0	7	0	0	6	4	3	2	2	2	1	22	0	1	5	0	0	4	2	4	0	0	4	6	1	1	2	7	1	0	0	8	6	14	3	0	0	0	0	0	0	1	0	0	8	1	0	2	3	2	2	2	5	0	2	2	1	9	1	3	3	10	3	0	7	2	0	7	2	1	0	2	1	11	0	2	0	2	2	3	3	2	5	0	4	12	0	3	6	0	1	2	0	0	1	0	7	0	3	2	1	1	0	2	2	0	0	1	6	1	0	4	2	0	0	16	0	1	2	0	2	1	0	4	0	0	3	1	13	0	2	0	3	2	5	0	1	5	2	1	1	0	1	2	0	2	1	0	0	7	11	1	3	0	0	0	0	0	0	2	15	0	0	1	2	0	1	4	1	3	3	1	0	0	2	8	0	0	2	2	4	10	0	1	0	10	1	6	0	0	3	5	4	2	3	4	0	2	4	1	0	0	5	13	2	1	3	8	0	0	0	0	4	0	3	0	5	2	0	3	6	1	0	1	4	0	6	1	1	1	4	5	4	3	1	4	0	3	1	6	1	6	1	0	2	4	6	1	3	5	0	0	0	0	17	8	0	1	2	1	0	1	2	4	3	1	1	0	2	1	2	1	0	8	5	6	2	3	6	2	1	3	2	10	4	1	2	0	1	0	12	4	2	1	0	3	0	1	0	2	0	3	0	5	0	0	6	8	0	0	2	5	0	1	0	4	2	1	6	3	9	6	0	5	7	3	0	25	1	3	1	6	0	2	0	0	0	0	1	3	0	0	2	1	0	3	2	8	2	0	1	0	0	1	3	0	5	2	0	5	1	2	4	8	0	0	4	0	11	14	8	1	0	0	0	1	0	8	7	0	0	4	3	0	0	2	7
Joel on Software	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Boing Boing	1	2	0	9	1	0	2	1	5	0	1	1	2	0	0	4	1	0	1	0	2	3	2	0	4	2	0	7	1	1	3	7	3	1	1	0	1	1	2	1	1	4	1	3	2	1	1	3	1	2	1	0	0	9	2	0	2	6	1	0	7	0	0	8	32	5	4	6	0	0	3	1	3	2	6	3	1	0	4	1	1	2	1	1	8	2	4	0	4	2	1	7	3	2	2	2	2	4	1	5	3	3	1	0	1	3	0	3	0	1	3	2	0	1	1	2	5	7	1	2	0	1	3	3	5	0	1	1	0	1	0	2	2	8	2	2	1	1	1	0	2	0	3	1	3	0	1	7	12	0	1	1	2	2	0	0	0	4	1	1	6	0	3	2	4	0	2	0	1	1	0	2	1	0	0	6	3	0	5	2	1	4	0	0	2	0	2	4	0	3	3	3	3	1	5	30	1	6	2	0	3	0	0	0	6	0	0	3	1	2	1	0	1	1	3	0	9	0	1	0	1	1	1	1	1	2	3	0	4	1	0	3	0	5	1	0	0	3	1	1	4	4	1	0	1	0	2	1	2	3	0	3	2	0	1	2	1	2	10	1	3	0	4	6	0	1	0	1	2	1	3	7	2	1	2	0	1	2	1	5	8	0	0	1	1	2	1	4	0	0	2	0	4	6	1	2	2	0	3	4	0	3	2	5	0	0	1	1	2	0	0	0	2	0	0	0	0	1	3	0	1	1	0	0	1	0	0	2	1	2	1	0	2	5	17	3	1	2	2	5	2	4	0	3	2	1	5	1	2	1	7	0	1	2	0	0	6	10	2	5	1	0	1	5	0	1	0	1	0	0	0	1	1	3	1	0	0	1	1	1	0	1	0	0	0	1	1	0	7	1	2	0	0	0	3	0	0	4	3	2	1	0	0	0	0	2	1	1	4	3	6	0	0	8	3	2	3	1	5	2	2	2	1	2	1	0	0	2	1	1	4	3	3	0	2	0	1	0	0	3	2	0	2	0	4	1	0	8	1	2	2	5	3	2	1	0	8	1	0	4	0	0	1	5	1	4	3	0	2	1	0	1	0	1	0	4	3	0	6	2	0	2	0	2	0	1	1	1	1	0	2	6	0	0	0	0	0	0	0	3	2	3	1	1	2	0	0	1	0	3	4	8	20	2	0	2	1	2	1	1	2	2	4	0	3	3	3	8	1	1
Wired	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	3	0	0	0	2	2	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	2	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	3	0	1	4	0	1	1	2	1	2	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	1	4	0	0	0	0	2	1	0	0	0	2	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	2	0	0	5	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	4	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	2	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	2	2	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0	3	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	2	1	1	0	2	3	0	0	0	1	0	0	0	0	0	3	1	0	0	6	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	1	0	1	1	0	0	0	2	0	0	0	0	1	0	2	3	0	1	0	0	1	0	0	1	1	0	2	0	2	0	1	0
